Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation,School
USA,OR,2019,11,Male,17,Left-Handed,,,,,,18,0.5,60,Basketball,400,600,400,400,700,1000,20,Same length,50,60,Ring finger,April,Fall,No,No,Meat,Water,Geography,7,8,4,Yes - broadband connection,Internet chat or instant messaging,10,20,40,10,350,600,400,10,60,120,150,0,15,100,A lot,Graduate degree,Rap/Hip hop,Super strength,Rich,,"Arts, culture, sports",high
USA,OR,2018,9,Female,15,Right-Handed,159,22,154,1,Bus,20,0.65,87,Dancing,60,40,40,70,75,90,21,Right foot,65,6,Ring finger,March,Fall,No,No,Meat,Soft drink (caffeinated),English,8,11,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",10,10,40,48,24,48,40,0,,70,,50,0,60,A lot,Other,Rap/Hip hop,Invisibility,Rich,Relative,Other,high
USA,OR,2018,9,Female,15,Right-Handed,167,24,165,1,Bus,6,0.5,47,Swimming,90,50,60,60,70,80,24.5,Left foot,65,65,Same length,November,Spring,No,No,Seafood,Water,Art,6,,5,Yes - other,In person,21,17,40,10,0,5,40,0,,80,,80,72,50,A lot,Other,Rap/Hip hop,Invisibility,Rich,Relative,Other,high
USA,OR,2018,9,Male,15,Left-Handed,175,25,174.5,1,Bus,20,0.274,99,Football (American),500,300,700,400,600,1000,25,Same length,7 1/2,8 1/2,Index finger,November,Fall,No,No,Pizza/Pasta,Milk,Physical education,6,8,6,Yes - other,Internet chat or instant messaging,30,30,2,0,0,2,1,3,6,1,5,30,7,30,Very little,Graduate degree,Rap/Hip hop,Invisibility,Rich,Musician or singer,Health,high
USA,OR,2017,12,Male,17,Left-Handed,174,27,173,2,Walk,45,0.263,32,Martial Arts,1000,900,750,800,900,900,27,Right foot,75,83,Ring finger,February,Winter,No,No,Rice/Noodle dishes,Soft drink (caffeinated),History,6,10,4,Yes - broadband connection,Internet chat or instant messaging,0,7,30,2,10,20,7,40,12,2,40,7,0,20,Some,Graduate degree,Heavy metal,Freeze time,Rich,Friend,Other,high
USA,OR,2017,9,Female,14,Right-Handed,167.6,27,170,1,Bus,12,0.698,39,Swimming,321,299,899,1000,134,176,27,Same length,85,85,Same length,May,Summer,No,No,Salads,Water,English,5,8,5,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",30,32,35,1,14,20,9,21,40,2,40,15,6,15,Some,Graduate degree,Other,Telepathy,Rich,Relative,Health,high
USA,OR,2015,12,Male,17,Right-Handed,187,29,189,1,Car,8,0.3,31,Basketball,0,460,203,460,829,1000,29,Same length,100,94,Index finger,June,Summer,No,No,Poultry,Milk,Science,7,17,4,Yes - broadband connection,Text messaging,12,80,10,1,14,15,15,24,5,20,30,5,0,15,Very little,High school,Rap/Hip hop,Telepathy,Rich,Sports person,Religious,high
USA,OR,2018,9,Male,15,Right-Handed,177,29,28.5,2,Bus,,0.349,,Basketball,1000,899,700,0,900,500,28.7,Right foot,85,80,Ring finger,July,Summer,Yes,No,Seafood,Water,Art,7,11,5,Yes - other,"Myspace, Facebook, other social networking sites, or blog",100,50,6,11,2,5,14,3,15,10,7,2,1,15,Very little,Graduate degree,Rap/Hip hop,Freeze time,Rich,Relative,"Arts, culture, sports",high
USA,OR,2019,11,Female,16,Right-Handed,162,25,73,1,Walk,3,0.643,79,Other,,,,,,,25,Same length,88,80,Index finger,December,Fall,Yes,No,Rice/Noodle dishes,Water,Music,7,8,4,Yes - other,In person,41,26,14,25,7,21,14,0,6,25,12,0,0,14,Some,High school,Rhythm and blues (R&B),Freeze time,Rich,Musician or singer,"Arts, culture, sports",high
USA,OR,2019,10,Female,16,Ambidextrous,166,21,164,2,Walk,15,0.3,44,Martial Arts,1000,800,600,800,500,300,21,Same length,80,80,Same length,January,Fall,Yes,Yes,Breads/Sandwiches,Water,Languages,2,4,12,Yes - other,In person,0,5,1,0,5,1,4,1,1,1,2,1,12,12,A lot,Graduate degree,Classical,Fly,Rich,Other,International aid,high
