number,question,group
1,Why do we study statistics?,1
3,How is internal validity different from external validity?,1
4,Name one of the major critiques of NSHT, how it has affected the culture of science, and one way we can try to mitigate the concerns,1
5,What is a p-value and how is it used in research?,1
2,What does statistically significant mean?,2
3,How is probability used in frequentist statistics?,2
4,What is the difference between a population and a sample?,2
5,How do you interpret the confidence interval around a statistic?,2
6,What is a sampling distribution?,2
7,Why and how do we use a normal or t distribution when studying means?,2
1,Describe the process of conducting a null hypothesis significance test.,3
2,What are null and alternative hypotheses?,3
3,What kind of errors can you make under NHST and what do they mean? Which is worse?,3
4,What is statistical power? How can we increase it?,3
5,What is the relationship between Type I and Type II error?,3
6,"What is an assumption, and why is it important to evaluate assumptions?",3
2,How does increasing sample size affect Type I error?,4
3,How does increasing sample size affect Type II error?,4
